"","subjID","H","B","A","city_no","walk_no","reward","v","mean","median","sd","best_leaf","best_reward","worst_leaf","worst_reward","step_reward","perc_reward","regret","step_regret","perc_regret","score","zreward","path_leaf","path_dist","path_greedy","node_greedy"
"1",1,2,2,0,6,1,33,9,37,37,2.82842712474619,2,39,3,35,33,-2,6,6,3,0,-1.4142135623731,"3",NA,FALSE,NA
"2",1,2,2,0,6,2,39,9,37,37,2.82842712474619,2,39,3,35,39,1,0,0,0,1,0.707106781186548,"2",1,FALSE,NA
"3",1,2,2,0,6,3,43,9,37,37,2.82842712474619,2,39,3,35,43,3,-4,-4,-2,1,2.12132034355964,"2",0,TRUE,1
"4",1,2,2,0,6,4,40,9,37,37,2.82842712474619,2,39,3,35,40,1.5,-1,-1,-0.5,1,1.06066017177982,"2",0,TRUE,1
"5",1,2,2,0,6,5,38,9,37,37,2.82842712474619,2,39,3,35,38,0.5,1,1,0.5,0.75,0.353553390593274,"2",0,TRUE,1
"6",1,2,2,0,6,6,38,9,37,37,2.82842712474619,2,39,3,35,38,0.5,1,1,0.5,0.75,0.353553390593274,"2",0,TRUE,1
"7",1,2,2,0,6,7,38,9,37,37,2.82842712474619,2,39,3,35,38,0.5,1,1,0.5,0.75,0.353553390593274,"2",0,TRUE,1
"8",1,2,2,0,6,8,42,9,37,37,2.82842712474619,2,39,3,35,42,2.5,-3,-3,-1.5,1,1.76776695296637,"2",0,TRUE,1
"9",1,2,2,0,6,9,39,9,37,37,2.82842712474619,2,39,3,35,39,1,0,0,0,1,0.707106781186548,"2",0,TRUE,1
"10",1,2,2,0,6,10,41,9,37,37,2.82842712474619,2,39,3,35,41,2,-2,-2,-1,1,1.4142135623731,"2",0,TRUE,1
"11",1,2,2,0,6,11,39,9,37,37,2.82842712474619,2,39,3,35,39,1,0,0,0,1,0.707106781186548,"2",0,TRUE,1
"12",1,2,2,0,6,12,37,9,37,37,2.82842712474619,2,39,3,35,37,0,2,2,1,0.5,0,"2",0,TRUE,1
"13",1,2,2,0,6,13,39,9,37,37,2.82842712474619,2,39,3,35,39,1,0,0,0,1,0.707106781186548,"2",0,TRUE,1
"14",1,2,2,0,6,14,36,9,37,37,2.82842712474619,2,39,3,35,36,-0.5,3,3,1.5,0.25,-0.353553390593274,"2",0,TRUE,1
"15",1,2,2,0,6,15,39,9,37,37,2.82842712474619,2,39,3,35,39,1,0,0,0,1,0.707106781186548,"2",0,TRUE,1
"16",1,2,3,0,2,1,46,3,55.6666666666667,52,10.9696551146029,4,68,2,47,46,-0.783783783783789,22,22,1.78378378378379,0,-0.88121883192101,"4",NA,FALSE,NA
"17",1,2,3,0,2,2,54,3,55.6666666666667,52,10.9696551146029,4,68,2,47,54,-0.135135135135138,14,14,1.13513513513514,0.333333333333333,-0.151934281365694,"2",2,FALSE,NA
"18",1,2,3,0,2,3,50,3,55.6666666666667,52,10.9696551146029,4,68,2,47,50,-0.459459459459463,18,18,1.45945945945946,0.142857142857143,-0.516576556643352,"2",0,TRUE,NA
"19",1,2,3,0,2,4,70,3,55.6666666666667,52,10.9696551146029,4,68,2,47,70,1.16216216216216,-2,-2,-0.162162162162163,1,1.30663481974494,"3",1,FALSE,NA
"20",1,2,3,0,2,5,65,3,55.6666666666667,52,10.9696551146029,4,68,2,47,65,0.756756756756756,3,3,0.243243243243244,0.857142857142857,0.850831975647866,"3",0,TRUE,1
"21",1,2,3,0,2,6,67,3,55.6666666666667,52,10.9696551146029,4,68,2,47,67,0.918918918918919,1,1,0.0810810810810813,0.952380952380952,1.03315311328669,"3",0,TRUE,1
"22",1,2,3,0,2,7,69,3,55.6666666666667,52,10.9696551146029,4,68,2,47,69,1.08108108108108,-1,-1,-0.0810810810810814,1,1.21547425092552,"3",0,TRUE,1
"23",1,2,3,0,2,8,69,3,55.6666666666667,52,10.9696551146029,4,68,2,47,69,1.08108108108108,-1,-1,-0.0810810810810814,1,1.21547425092552,"3",0,TRUE,1
"24",1,2,3,0,2,9,70,3,55.6666666666667,52,10.9696551146029,4,68,2,47,70,1.16216216216216,-2,-2,-0.162162162162163,1,1.30663481974494,"3",0,TRUE,1
"25",1,2,3,0,2,10,66,3,55.6666666666667,52,10.9696551146029,4,68,2,47,66,0.837837837837837,2,2,0.162162162162163,0.904761904761905,0.94199254446728,"3",0,TRUE,1
"26",1,2,3,0,2,11,70,3,55.6666666666667,52,10.9696551146029,4,68,2,47,70,1.16216216216216,-2,-2,-0.162162162162163,1,1.30663481974494,"3",0,TRUE,1
