"","subjID","H","B","A","city_no","walk_no","reward","v","mean","sd","best_leaf","best_reward","worst_leaf","worst_reward","step_reward","perc_reward","regret","step_regret","perc_regret","score","zreward","path_leaf","path_dist"
"1",1,2,2,0.5,7,1,66,0,58.5,2.12132034355964,2,60,3,57,66,5,-6,-6,-4,1,3.53553390593274,"2",NA
"2",1,2,2,0.5,7,2,59,0,58.5,2.12132034355964,2,60,3,57,59,0.333333333333333,1,1,0.666666666666667,0.666666666666667,0.235702260395516,"3",1
"3",1,2,2,0.5,7,3,61,0,58.5,2.12132034355964,2,60,3,57,61,1.66666666666667,-1,-1,-0.666666666666667,1,1.17851130197758,"2",1
"4",1,2,2,0.5,7,4,59,0,58.5,2.12132034355964,2,60,3,57,59,0.333333333333333,1,1,0.666666666666667,0.666666666666667,0.235702260395516,"2",0
"5",1,2,2,0.5,7,5,60,0,58.5,2.12132034355964,2,60,3,57,60,1,0,0,0,1,0.707106781186548,"2",0
"6",1,2,2,0.5,7,6,59,0,58.5,2.12132034355964,2,60,3,57,59,0.333333333333333,1,1,0.666666666666667,0.666666666666667,0.235702260395516,"2",0
"7",1,2,2,0.5,7,7,59,0,58.5,2.12132034355964,2,60,3,57,59,0.333333333333333,1,1,0.666666666666667,0.666666666666667,0.235702260395516,"3",1
"8",1,2,2,0.5,7,8,62,0,58.5,2.12132034355964,2,60,3,57,62,2.33333333333333,-2,-2,-1.33333333333333,1,1.64991582276861,"3",0
"9",1,2,2,0.5,7,9,58,0,58.5,2.12132034355964,2,60,3,57,58,-0.333333333333333,2,2,1.33333333333333,0.333333333333333,-0.235702260395516,"3",0
"10",1,2,2,0.5,7,10,58,0,58.5,2.12132034355964,2,60,3,57,58,-0.333333333333333,2,2,1.33333333333333,0.333333333333333,-0.235702260395516,"3",0
"11",1,2,2,0.5,7,11,59,0,58.5,2.12132034355964,2,60,3,57,59,0.333333333333333,1,1,0.666666666666667,0.666666666666667,0.235702260395516,"2",1
"12",1,2,2,0.5,7,12,59,0,58.5,2.12132034355964,2,60,3,57,59,0.333333333333333,1,1,0.666666666666667,0.666666666666667,0.235702260395516,"2",0
"13",1,2,2,0.5,7,13,60,0,58.5,2.12132034355964,2,60,3,57,60,1,0,0,0,1,0.707106781186548,"2",0
"14",1,2,2,0.5,7,14,61,0,58.5,2.12132034355964,2,60,3,57,61,1.66666666666667,-1,-1,-0.666666666666667,1,1.17851130197758,"2",0
"15",1,2,2,0.5,7,15,63,0,58.5,2.12132034355964,2,60,3,57,63,3,-3,-3,-2,1,2.12132034355965,"2",0
"16",1,2,2,1,17,1,63,3,64.5,3.53553390593274,3,67,2,62,63,-0.6,4,4,1.6,0.2,-0.424264068711928,"2",NA
"17",1,2,2,1,17,2,64,3,64.5,3.53553390593274,3,67,2,62,64,-0.2,3,3,1.2,0.4,-0.141421356237309,"3",1
"18",1,2,2,1,17,3,64,3,64.5,3.53553390593274,3,67,2,62,64,-0.2,3,3,1.2,0.4,-0.141421356237309,"3",0
"19",1,2,2,1,17,4,69,3,64.5,3.53553390593274,3,67,2,62,69,1.8,-2,-2,-0.8,1,1.27279220613578,"3",0
"20",1,2,2,1,17,5,66,3,64.5,3.53553390593274,3,67,2,62,66,0.6,1,1,0.4,0.8,0.424264068711928,"3",0
"21",1,2,2,1,17,6,68,3,64.5,3.53553390593274,3,67,2,62,68,1.4,-1,-1,-0.4,1,0.989949493661166,"3",0
"22",1,2,2,1,17,7,65,3,64.5,3.53553390593274,3,67,2,62,65,0.2,2,2,0.8,0.6,0.141421356237309,"3",0
"23",1,2,2,1,17,8,65,3,64.5,3.53553390593274,3,67,2,62,65,0.2,2,2,0.8,0.6,0.141421356237309,"3",0
"24",1,2,2,1,17,9,68,3,64.5,3.53553390593274,3,67,2,62,68,1.4,-1,-1,-0.4,1,0.989949493661166,"3",0
"25",1,2,2,1,17,10,68,3,64.5,3.53553390593274,3,67,2,62,68,1.4,-1,-1,-0.4,1,0.989949493661166,"3",0
"26",1,2,2,1,17,11,68,3,64.5,3.53553390593274,3,67,2,62,68,1.4,-1,-1,-0.4,1,0.989949493661166,"3",0
"27",1,2,2,1,17,12,67,3,64.5,3.53553390593274,3,67,2,62,67,1,0,0,0,1,0.707106781186547,"3",0
"28",1,2,2,1,17,13,65,3,64.5,3.53553390593274,3,67,2,62,65,0.2,2,2,0.8,0.6,0.141421356237309,"3",0
"29",1,2,2,1,17,14,66,3,64.5,3.53553390593274,3,67,2,62,66,0.6,1,1,0.4,0.8,0.424264068711928,"3",0
"30",1,2,2,1,17,15,68,3,64.5,3.53553390593274,3,67,2,62,68,1.4,-1,-1,-0.4,1,0.989949493661166,"3",0
"31",1,2,2,2,4,1,53,3,54.5,2.12132034355964,3,56,2,53,53,-1,3,3,2,0,-0.707106781186548,"2",NA
"32",1,2,2,2,4,2,58,3,54.5,2.12132034355964,3,56,2,53,58,2.33333333333333,-2,-2,-1.33333333333333,1,1.64991582276861,"3",1
"33",1,2,2,2,4,3,53,3,54.5,2.12132034355964,3,56,2,53,53,-1,3,3,2,0,-0.707106781186548,"3",0
"34",1,2,2,2,4,4,51,3,54.5,2.12132034355964,3,56,2,53,51,-2.33333333333333,5,5,3.33333333333333,0,-1.64991582276861,"2",1
"35",1,2,2,2,4,5,55,3,54.5,2.12132034355964,3,56,2,53,55,0.333333333333333,1,1,0.666666666666667,0.666666666666667,0.235702260395516,"3",1
"36",1,2,2,2,4,6,50,3,54.5,2.12132034355964,3,56,2,53,50,-3,6,6,4,0,-2.12132034355965,"2",1
"37",1,2,2,2,4,7,54,3,54.5,2.12132034355964,3,56,2,53,54,-0.333333333333333,2,2,1.33333333333333,0.333333333333333,-0.235702260395516,"2",0
"38",1,2,2,2,4,8,58,3,54.5,2.12132034355964,3,56,2,53,58,2.33333333333333,-2,-2,-1.33333333333333,1,1.64991582276861,"3",1
"39",1,2,2,2,4,9,57,3,54.5,2.12132034355964,3,56,2,53,57,1.66666666666667,-1,-1,-0.666666666666667,1,1.17851130197758,"3",0
"40",1,2,2,2,4,10,49,3,54.5,2.12132034355964,3,56,2,53,49,-3.66666666666667,7,7,4.66666666666667,0,-2.59272486435068,"2",1
"41",1,2,2,2,4,11,55,3,54.5,2.12132034355964,3,56,2,53,55,0.333333333333333,1,1,0.666666666666667,0.666666666666667,0.235702260395516,"3",1
"42",1,2,2,2,4,12,54,3,54.5,2.12132034355964,3,56,2,53,54,-0.333333333333333,2,2,1.33333333333333,0.333333333333333,-0.235702260395516,"3",0
"43",1,2,2,2,4,13,55,3,54.5,2.12132034355964,3,56,2,53,55,0.333333333333333,1,1,0.666666666666667,0.666666666666667,0.235702260395516,"3",0
"44",1,2,2,2,4,14,57,3,54.5,2.12132034355964,3,56,2,53,57,1.66666666666667,-1,-1,-0.666666666666667,1,1.17851130197758,"3",0
"45",1,2,2,2,4,15,54,3,54.5,2.12132034355964,3,56,2,53,54,-0.333333333333333,2,2,1.33333333333333,0.333333333333333,-0.235702260395516,"3",0
"46",1,2,3,0.5,25,1,38,7,46,8.71779788708135,4,52,2,36,38,-1.33333333333333,14,14,2.33333333333333,0.125,-0.917662935482247,"2",NA
"47",1,2,3,0.5,25,2,49,7,46,8.71779788708135,4,52,2,36,49,0.5,3,3,0.5,0.8125,0.344123600805843,"3",1
"48",1,2,3,0.5,25,3,57,7,46,8.71779788708135,4,52,2,36,57,1.83333333333333,-5,-5,-0.833333333333333,1,1.26178653628809,"4",1
"49",1,2,3,0.5,25,4,51,7,46,8.71779788708135,4,52,2,36,51,0.833333333333333,1,1,0.166666666666667,0.9375,0.573539334676404,"4",0
"50",1,2,3,0.5,25,5,51,7,46,8.71779788708135,4,52,2,36,51,0.833333333333333,1,1,0.166666666666667,0.9375,0.573539334676404,"4",0
"51",1,2,3,0.5,25,6,53,7,46,8.71779788708135,4,52,2,36,53,1.16666666666667,-1,-1,-0.166666666666667,1,0.802955068546966,"4",0
"52",1,2,3,0.5,25,7,52,7,46,8.71779788708135,4,52,2,36,52,1,0,0,0,1,0.688247201611685,"4",0
"53",1,2,3,0.5,25,8,52,7,46,8.71779788708135,4,52,2,36,52,1,0,0,0,1,0.688247201611685,"4",0
"54",1,2,3,0.5,25,9,51,7,46,8.71779788708135,4,52,2,36,51,0.833333333333333,1,1,0.166666666666667,0.9375,0.573539334676404,"4",0
"55",1,2,3,0.5,25,10,51,7,46,8.71779788708135,4,52,2,36,51,0.833333333333333,1,1,0.166666666666667,0.9375,0.573539334676404,"3",1
"56",1,2,3,0.5,25,11,50,7,46,8.71779788708135,4,52,2,36,50,0.666666666666667,2,2,0.333333333333333,0.875,0.458831467741123,"3",0
"57",1,2,3,0.5,25,12,36,7,46,8.71779788708135,4,52,2,36,36,-1.66666666666667,16,16,2.66666666666667,0,-1.14707866935281,"2",1
"58",1,2,3,0.5,25,13,34,7,46,8.71779788708135,4,52,2,36,34,-2,18,18,3,0,-1.37649440322337,"2",0
"59",1,2,3,0.5,25,14,35,7,46,8.71779788708135,4,52,2,36,35,-1.83333333333333,17,17,2.83333333333333,0,-1.26178653628809,"2",0
"60",1,2,3,0.5,25,15,49,7,46,8.71779788708135,4,52,2,36,49,0.5,3,3,0.5,0.8125,0.344123600805843,"3",1
