"name","reward","parent"
1,63,
2,53,1
6,28,2
22,42,6
23,45,6
24,39,6
25,14,6
7,39,2
26,45,7
27,52,7
28,47,7
29,35,7
8,45,2
30,48,8
31,45,8
32,58,8
33,47,8
9,45,2
34,36,9
35,52,9
36,46,9
37,54,9
3,55,1
10,56,3
38,76,10
39,59,10
40,46,10
41,38,10
11,42,3
42,30,11
43,34,11
44,45,11
45,43,11
12,56,3
46,57,12
47,56,12
48,60,12
49,64,12
13,67,3
50,52,13
51,64,13
52,65,13
53,75,13
4,50,1
14,56,4
54,81,14
55,58,14
56,47,14
57,41,14
15,64,4
58,68,15
59,65,15
60,70,15
61,63,15
16,42,4
62,37,16
63,50,16
64,38,16
65,50,16
17,26,4
66,13,17
67,8,17
68,41,17
69,48,17
5,62,1
18,64,5
70,46,18
71,66,18
72,64,18
73,47,18
19,55,5
74,62,19
75,36,19
76,36,19
77,63,19
20,50,5
78,39,20
79,29,20
80,40,20
81,37,20
21,64,5
82,36,21
83,68,21
84,62,21
85,61,21
