"name","reward","parent"
1,49,
2,52,1
6,51,2
22,51,6
23,51,6
24,50,6
25,49,6
7,56,2
26,58,7
27,56,7
28,55,7
29,54,7
8,60,2
30,64,8
31,65,8
32,65,8
33,63,8
9,50,2
34,53,9
35,49,9
36,44,9
37,41,9
3,48,1
10,55,3
38,62,10
39,60,10
40,57,10
41,54,10
11,45,3
42,43,11
43,41,11
44,39,11
45,39,11
12,51,3
46,58,12
47,56,12
48,54,12
49,53,12
13,37,3
50,36,13
51,33,13
52,30,13
53,28,13
4,47,1
14,49,4
54,45,14
55,47,14
56,50,14
57,54,14
15,48,4
58,45,15
59,48,15
60,51,15
61,56,15
16,42,4
62,40,16
63,39,16
64,38,16
65,37,16
17,47,4
66,47,17
67,48,17
68,49,17
69,50,17
5,48,1
18,35,5
70,32,18
71,29,18
72,27,18
73,26,18
19,55,5
74,58,19
75,59,19
76,62,19
77,64,19
20,54,5
78,58,20
79,56,20
80,55,20
81,55,20
21,53,5
82,54,21
83,54,21
84,54,21
85,52,21
