"name","reward","parent"
1,48,
2,45,1
6,40,2
22,39,6
23,37,6
24,43,6
25,38,6
7,42,2
26,48,7
27,53,7
28,37,7
29,28,7
8,50,2
30,65,8
31,56,8
32,49,8
33,47,8
9,63,2
34,83,9
35,75,9
36,64,9
37,63,9
3,49,1
10,49,3
38,51,10
39,51,10
40,47,10
41,44,10
11,51,3
42,46,11
43,54,11
44,58,11
45,59,11
12,48,3
46,43,12
47,48,12
48,48,12
49,49,12
13,57,3
50,66,13
51,61,13
52,56,13
53,58,13
4,53,1
14,46,4
54,32,14
55,35,14
56,47,14
57,46,14
15,56,4
58,61,15
59,57,15
60,52,15
61,56,15
16,62,4
62,72,16
63,72,16
64,63,16
65,61,16
17,53,4
66,41,17
67,54,17
68,56,17
69,58,17
5,54,1
18,63,5
70,77,18
71,72,18
72,65,18
73,49,18
19,59,5
74,66,19
75,59,19
76,59,19
77,60,19
20,54,5
78,42,20
79,45,20
80,66,20
81,71,20
21,45,5
82,46,21
83,43,21
84,43,21
85,35,21
