"name","reward","parent"
1,60,
2,56,1
6,39,2
22,82,6
23,44,6
24,28,6
25,22,6
7,56,2
26,33,7
27,52,7
28,73,7
29,61,7
8,46,2
30,50,8
31,50,8
32,47,8
33,46,8
9,45,2
34,46,9
35,36,9
36,38,9
37,53,9
3,63,1
10,51,3
38,54,10
39,68,10
40,52,10
41,44,10
11,47,3
42,28,11
43,48,11
44,58,11
45,55,11
12,59,3
46,69,12
47,76,12
48,45,12
49,66,12
13,60,3
50,78,13
51,55,13
52,26,13
53,53,13
4,72,1
14,64,4
54,45,14
55,54,14
56,69,14
57,61,14
15,73,4
58,82,15
59,69,15
60,52,15
61,63,15
16,65,4
62,62,16
63,81,16
64,42,16
65,53,16
17,71,4
66,79,17
67,56,17
68,58,17
69,34,17
5,62,1
18,53,5
70,25,18
71,52,18
72,61,18
73,41,18
19,42,5
74,40,19
75,35,19
76,32,19
77,33,19
20,53,5
78,35,20
79,56,20
80,58,20
81,30,20
21,59,5
82,42,21
83,55,21
84,64,21
85,50,21
