"name","reward","parent"
1,58,
2,40,1
6,38,2
22,31,6
23,49,6
24,48,6
25,35,6
7,46,2
26,62,7
27,48,7
28,42,7
29,61,7
8,43,2
30,41,8
31,25,8
32,50,8
33,51,8
9,59,2
34,35,9
35,64,9
36,81,9
37,92,9
3,45,1
10,49,3
38,41,10
39,42,10
40,56,10
41,45,10
11,46,3
42,57,11
43,29,11
44,49,11
45,68,11
12,51,3
46,46,12
47,72,12
48,50,12
49,47,12
13,49,3
50,42,13
51,60,13
52,52,13
53,46,13
4,48,1
14,51,4
54,49,14
55,48,14
56,57,14
57,54,14
15,58,4
58,59,15
59,49,15
60,51,15
61,69,15
16,45,4
62,40,16
63,41,16
64,43,16
65,44,16
17,40,4
66,17,17
67,27,17
68,47,17
69,50,17
5,59,1
18,67,5
70,71,18
71,58,18
72,59,18
73,78,18
19,49,5
74,62,19
75,44,19
76,33,19
77,29,19
20,51,5
78,44,20
79,34,20
80,59,20
81,57,20
21,59,5
82,63,21
83,43,21
84,57,21
85,60,21
