"name","reward","parent"
1,56,
2,61,1
6,65,2
22,58,6
23,48,6
24,57,6
25,55,6
7,54,2
26,49,7
27,31,7
28,21,7
29,24,7
8,63,2
30,51,8
31,51,8
32,64,8
33,84,8
9,62,2
34,52,9
35,46,9
36,59,9
37,77,9
3,44,1
10,44,3
38,37,10
39,25,10
40,26,10
41,67,10
11,43,3
42,52,11
43,49,11
44,51,11
45,25,11
12,50,3
46,65,12
47,52,12
48,42,12
49,65,12
13,53,3
50,67,13
51,55,13
52,68,13
53,68,13
4,48,1
14,67,4
54,62,14
55,66,14
56,60,14
57,70,14
15,53,4
58,68,15
59,58,15
60,40,15
61,54,15
16,54,4
62,30,16
63,55,16
64,57,16
65,81,16
17,49,4
66,67,17
67,61,17
68,45,17
69,51,17
5,50,1
18,50,5
70,45,18
71,72,18
72,69,18
73,43,18
19,58,5
74,62,19
75,52,19
76,53,19
77,74,19
20,50,5
78,28,20
79,55,20
80,75,20
81,79,20
21,48,5
82,63,21
83,62,21
84,46,21
85,38,21
