"name","reward","parent"
1,52,
2,48,1
6,47,2
22,46,6
23,47,6
24,48,6
25,48,6
7,43,2
26,43,7
27,42,7
28,40,7
29,39,7
8,41,2
30,42,8
31,38,8
32,34,8
33,31,8
9,51,2
34,58,9
35,54,9
36,51,9
37,51,9
3,54,1
10,54,3
38,49,10
39,52,10
40,55,10
41,58,10
11,54,3
42,45,11
43,50,11
44,55,11
45,58,11
12,60,3
46,66,12
47,64,12
48,61,12
49,59,12
13,60,3
50,64,13
51,64,13
52,61,13
53,58,13
4,50,1
14,46,4
54,48,14
55,47,14
56,44,14
57,43,14
15,49,4
58,51,15
59,50,15
60,50,15
61,50,15
16,45,4
62,35,16
63,38,16
64,46,16
65,53,16
17,50,4
66,50,17
67,50,17
68,51,17
69,52,17
5,52,1
18,63,5
70,69,18
71,67,18
72,68,18
73,71,18
19,48,5
74,46,19
75,46,19
76,43,19
77,41,19
20,49,5
78,46,20
79,48,20
80,50,20
81,51,20
21,47,5
82,47,21
83,44,21
84,43,21
85,44,21
