"name","reward","parent"
1,50,
2,51,1
6,65,2
22,71,6
23,71,6
24,70,6
25,69,6
7,53,2
26,52,7
27,53,7
28,52,7
29,50,7
8,51,2
30,59,8
31,54,8
32,49,8
33,46,8
9,43,2
34,40,9
35,42,9
36,40,9
37,39,9
3,45,1
10,35,3
38,27,10
39,30,10
40,33,10
41,36,10
11,42,3
42,41,11
43,42,11
44,44,11
45,46,11
12,40,3
46,38,12
47,38,12
48,38,12
49,38,12
13,45,3
50,49,13
51,48,13
52,46,13
53,43,13
4,51,1
14,52,4
54,56,14
55,54,14
56,51,14
57,49,14
15,49,4
58,43,15
59,46,15
60,49,15
61,50,15
16,56,4
62,56,16
63,56,16
64,58,16
65,61,16
17,55,4
66,59,17
67,56,17
68,54,17
69,55,17
5,52,1
18,38,5
70,31,18
71,30,18
72,32,18
73,36,18
19,48,5
74,45,19
75,48,19
76,48,19
77,46,19
20,56,5
78,62,20
79,58,20
80,53,20
81,50,20
21,70,5
82,76,21
83,76,21
84,77,21
85,76,21
