"name","reward","parent"
1,52,
2,47,1
6,54,2
22,63,6
23,60,6
24,58,6
25,59,6
7,35,2
26,29,7
27,32,7
28,25,7
29,25,7
8,41,2
30,44,8
31,42,8
32,44,8
33,43,8
9,44,2
34,35,9
35,45,9
36,49,9
37,55,9
3,55,1
10,58,3
38,61,10
39,63,10
40,60,10
41,52,10
11,63,3
42,73,11
43,70,11
44,64,11
45,62,11
12,62,3
46,66,12
47,65,12
48,62,12
49,65,12
13,55,3
50,63,13
51,55,13
52,47,13
53,40,13
4,42,1
14,35,4
54,32,14
55,31,14
56,40,14
57,44,14
15,25,4
58,19,15
59,13,15
60,15,15
61,20,15
16,41,4
62,24,16
63,38,16
64,56,16
65,56,16
17,48,4
66,51,17
67,48,17
68,55,17
69,53,17
5,42,1
18,30,5
70,24,18
71,23,18
72,23,18
73,36,18
19,49,5
74,59,19
75,59,19
76,56,19
77,51,19
20,46,5
78,52,20
79,53,20
80,43,20
81,45,20
21,41,5
82,45,21
83,38,21
84,37,21
85,39,21
