"name","reward","parent"
1,48,
2,51,1
6,53,2
22,53,6
23,53,6
24,53,6
25,52,6
7,55,2
26,56,7
27,57,7
28,59,7
29,61,7
8,44,2
30,41,8
31,38,8
32,36,8
33,35,8
9,54,2
34,58,9
35,59,9
36,57,9
37,55,9
3,50,1
10,48,3
38,46,10
39,47,10
40,49,10
41,52,10
11,45,3
42,42,11
43,42,11
44,41,11
45,42,11
12,53,3
46,57,12
47,55,12
48,53,12
49,53,12
13,57,3
50,48,13
51,55,13
52,64,13
53,70,13
4,48,1
14,49,4
54,49,14
55,48,14
56,47,14
57,46,14
15,55,4
58,56,15
59,59,15
60,61,15
61,63,15
16,46,4
62,49,16
63,46,16
64,43,16
65,42,16
17,43,4
66,40,17
67,41,17
68,42,17
69,42,17
5,41,1
18,36,5
70,33,18
71,32,18
72,35,18
73,39,18
19,38,5
74,36,19
75,38,19
76,39,19
77,39,19
20,35,5
78,27,20
79,30,20
80,34,20
81,36,20
21,40,5
82,39,21
83,41,21
84,43,21
85,44,21
