"name","reward","parent"
1,46,
2,51,1
6,55,2
22,49,6
23,53,6
24,61,6
25,71,6
7,44,2
26,54,7
27,39,7
28,34,7
29,28,7
8,48,2
30,39,8
31,41,8
32,51,8
33,47,8
9,56,2
34,60,9
35,56,9
36,50,9
37,57,9
3,41,1
10,41,3
38,49,10
39,46,10
40,41,10
41,45,10
11,33,3
42,25,11
43,24,11
44,28,11
45,45,11
12,36,3
46,46,12
47,38,12
48,31,12
49,25,12
13,49,3
50,51,13
51,55,13
52,60,13
53,50,13
4,41,1
14,38,4
54,48,14
55,40,14
56,36,14
57,29,14
15,38,4
58,35,15
59,43,15
60,36,15
61,26,15
16,55,4
62,68,16
63,70,16
64,67,16
65,68,16
17,34,4
66,33,17
67,29,17
68,29,17
69,23,17
5,45,1
18,48,5
70,49,18
71,46,18
72,50,18
73,69,18
19,38,5
74,22,19
75,32,19
76,33,19
77,35,19
20,57,5
78,67,20
79,62,20
80,63,20
81,71,20
21,50,5
82,68,21
83,52,21
84,43,21
85,36,21
