"name","reward","parent"
1,40,
2,50,1
6,56,2
22,44,6
23,43,6
24,65,6
25,55,6
7,53,2
26,71,7
27,53,7
28,47,7
29,40,7
8,42,2
30,65,8
31,48,8
32,30,8
33,19,8
9,62,2
34,68,9
35,70,9
36,63,9
37,53,9
3,47,1
10,38,3
38,53,10
39,52,10
40,31,10
41,23,10
11,47,3
42,20,11
43,42,11
44,59,11
45,59,11
12,58,3
46,51,12
47,45,12
48,46,12
49,70,12
13,63,3
50,61,13
51,72,13
52,58,13
53,50,13
4,41,1
14,41,4
54,63,14
55,40,14
56,31,14
57,29,14
15,32,4
58,36,15
59,43,15
60,30,15
61,8,15
16,32,4
62,20,16
63,29,16
64,30,16
65,17,16
17,50,4
66,85,17
67,62,17
68,65,17
69,40,17
5,37,1
18,41,5
70,51,18
71,63,18
72,65,18
73,39,18
19,34,5
74,10,19
75,53,19
76,69,19
77,45,19
20,37,5
78,53,20
79,38,20
80,32,20
81,34,20
21,53,5
82,70,21
83,70,21
84,51,21
85,56,21
