"name","reward","parent"
1,50,
2,46,1
6,49,2
22,49,6
23,51,6
24,52,6
25,51,6
7,45,2
26,44,7
27,43,7
28,44,7
29,46,7
8,42,2
30,45,8
31,41,8
32,37,8
33,36,8
9,43,2
34,50,9
35,47,9
36,41,9
37,36,9
3,47,1
10,30,3
38,27,10
39,27,10
40,24,10
41,21,10
11,40,3
42,34,11
43,39,11
44,40,11
45,38,11
12,51,3
46,52,12
47,54,12
48,55,12
49,54,12
13,55,3
50,61,13
51,59,13
52,56,13
53,55,13
4,54,1
14,56,4
54,55,14
55,54,14
56,54,14
57,55,14
15,61,4
58,61,15
59,64,15
60,66,15
61,64,15
16,62,4
62,68,16
63,66,16
64,64,16
65,64,16
17,51,4
66,48,17
67,48,17
68,47,17
69,47,17
5,53,1
18,53,5
70,52,18
71,54,18
72,53,18
73,53,18
19,56,5
74,62,19
75,59,19
76,56,19
77,56,19
20,52,5
78,53,20
79,52,20
80,51,20
81,49,20
21,49,5
82,49,21
83,49,21
84,46,21
85,44,21
