"name","reward","parent"
1,32,
2,39,1
6,42,2
22,49,6
23,37,6
24,31,6
25,36,6
7,50,2
26,54,7
27,47,7
28,56,7
29,62,7
8,45,2
30,47,8
31,63,8
32,33,8
33,32,8
9,53,2
34,46,9
35,45,9
36,44,9
37,80,9
3,39,1
10,35,3
38,42,10
39,38,10
40,26,10
41,16,10
11,46,3
42,59,11
43,48,11
44,61,11
45,53,11
12,45,3
46,29,12
47,35,12
48,48,12
49,64,12
13,69,3
50,91,13
51,61,13
52,74,13
53,91,13
4,41,1
14,56,4
54,48,14
55,38,14
56,52,14
57,72,14
15,54,4
58,59,15
59,33,15
60,64,15
61,82,15
16,49,4
62,58,16
63,60,16
64,54,16
65,35,16
17,51,4
66,58,17
67,52,17
68,38,17
69,49,17
5,36,1
18,33,5
70,36,18
71,34,18
72,12,18
73,26,18
19,37,5
74,52,19
75,29,19
76,32,19
77,33,19
20,51,5
78,46,20
79,68,20
80,62,20
81,62,20
21,39,5
82,8,21
83,58,21
84,42,21
85,32,21
