"name","reward","parent"
1,58,
2,63,1
6,51,2
22,65,6
23,41,6
24,31,6
25,39,6
7,61,2
26,63,7
27,54,7
28,52,7
29,56,7
8,52,2
30,68,8
31,42,8
32,27,8
33,50,8
9,36,2
34,21,9
35,31,9
36,14,9
37,39,9
3,46,1
10,57,3
38,38,10
39,48,10
40,56,10
41,71,10
11,49,3
42,35,11
43,45,11
44,36,11
45,25,11
12,56,3
46,85,12
47,57,12
48,69,12
49,68,12
13,32,3
50,39,13
51,30,13
52,39,13
53,53,13
4,51,1
14,32,4
54,27,14
55,34,14
56,24,14
57,25,14
15,56,4
58,53,15
59,78,15
60,60,15
61,59,15
16,53,4
62,45,16
63,33,16
64,46,16
65,53,16
17,50,4
66,42,17
67,44,17
68,63,17
69,48,17
5,49,1
18,49,5
70,65,18
71,64,18
72,31,18
73,56,18
19,33,5
74,32,19
75,48,19
76,22,19
77,20,19
20,44,5
78,63,20
79,31,20
80,51,20
81,32,20
21,54,5
82,71,21
83,69,21
84,49,21
85,41,21
