"name","reward","parent"
1,49,
2,48,1
6,53,2
22,63,6
23,50,6
24,44,6
25,43,6
7,42,2
26,49,7
27,51,7
28,49,7
29,15,7
8,40,2
30,26,8
31,43,8
32,33,8
33,49,8
9,38,2
34,44,9
35,42,9
36,39,9
37,73,9
3,57,1
10,51,3
38,25,10
39,53,10
40,49,10
41,42,10
11,63,3
42,71,11
43,60,11
44,69,11
45,37,11
12,45,3
46,34,12
47,47,12
48,27,12
49,24,12
13,53,3
50,57,13
51,51,13
52,61,13
53,27,13
4,48,1
14,40,4
54,52,14
55,35,14
56,23,14
57,41,14
15,49,4
58,64,15
59,54,15
60,51,15
61,57,15
16,39,4
62,11,16
63,38,16
64,43,16
65,49,16
17,61,4
66,52,17
67,74,17
68,71,17
69,48,17
5,58,1
18,47,5
70,42,18
71,48,18
72,34,18
73,53,18
19,63,5
74,60,19
75,61,19
76,73,19
77,84,19
20,48,5
78,43,20
79,54,20
80,28,20
81,12,20
21,63,5
82,81,21
83,72,21
84,50,21
85,61,21
