"name","reward","parent"
1,40,
2,42,1
6,52,2
22,58,6
23,53,6
24,53,6
25,61,6
7,45,2
26,32,7
27,44,7
28,53,7
29,56,7
8,48,2
30,21,8
31,44,8
32,65,8
33,71,8
9,51,2
34,54,9
35,54,9
36,52,9
37,56,9
3,42,1
10,47,3
38,51,10
39,50,10
40,44,10
41,51,10
11,51,3
42,63,11
43,61,11
44,53,11
45,47,11
12,50,3
46,66,12
47,60,12
48,49,12
49,44,12
13,40,3
50,49,13
51,39,13
52,40,13
53,41,13
4,49,1
14,57,4
54,68,14
55,52,14
56,51,14
57,62,14
15,59,4
58,53,15
59,52,15
60,62,15
61,78,15
16,56,4
62,60,16
63,62,16
64,54,16
65,52,16
17,51,4
66,39,17
67,43,17
68,56,17
69,64,17
5,44,1
18,45,5
70,66,18
71,51,18
72,33,18
73,26,18
19,45,5
74,58,19
75,52,19
76,36,19
77,31,19
20,49,5
78,62,20
79,62,20
80,50,20
81,34,20
21,42,5
82,36,21
83,42,21
84,45,21
85,43,21
