"name","reward","parent"
1,53,
2,46,1
6,45,2
22,71,6
23,29,6
24,39,6
25,50,6
7,42,2
26,69,7
27,44,7
28,42,7
29,25,7
8,50,2
30,62,8
31,61,8
32,53,8
33,52,8
9,47,2
34,63,9
35,62,9
36,43,9
37,50,9
3,46,1
10,48,3
38,59,10
39,44,10
40,28,10
41,56,10
11,35,3
42,21,11
43,22,11
44,32,11
45,35,11
12,36,3
46,35,12
47,44,12
48,42,12
49,50,12
13,52,3
50,64,13
51,58,13
52,47,13
53,64,13
4,58,1
14,62,4
54,56,14
55,51,14
56,56,14
57,45,14
15,57,4
58,47,15
59,56,15
60,52,15
61,38,15
16,36,4
62,28,16
63,27,16
64,29,16
65,31,16
17,51,4
66,58,17
67,59,17
68,53,17
69,52,17
5,45,1
18,59,5
70,61,18
71,63,18
72,46,18
73,53,18
19,46,5
74,48,19
75,48,19
76,44,19
77,77,19
20,41,5
78,50,20
79,57,20
80,50,20
81,29,20
21,43,5
82,54,21
83,39,21
84,50,21
85,44,21
