"subjID","A","alpha","beta","gamma","tau","nLL"
1,0,0.132139002804887,0,1.20385819101707,11.9046846182382,226.104435889083
10,0,0.339023507040189,0,1.25716732729331,22.6389519706114,250.361699876283
100,1,54.5773363204072,0,2.66638216722487,54.5697198383883,280.067413721081
101,1,1.84241022820876,0,0.00673938047638295,15.9396548764603,284.454352289825
102,1,0.649478980277367,0,0.692304859162303,7.28292015237686,249.818398341307
103,1,0.387795944573974,0,1.21710607264529,2.94458481687543,118.473412963626
105,1,0.429067633503766,0,0.799194585631412,4.55504135673369,183.03429884757
106,1,0.193891355907213,0,0.856676277071368,5.12980185120185,172.436680686352
107,1,0.00673795321195831,0,0.990548959960207,9.67965329160173,238.905729687176
11,0,0.156225986780775,0,0.92482993974286,6.26294561796285,201.062599886802
12,0,0.0235600836940526,0,1.47612484713809,19.1795266182141,247.982299304914
13,0,0.0387005974769791,0,1.21051998333824,9.44579805525521,216.002630699914
14,0,0.0442331990399536,0,0.713898696814763,7.40282030650667,242.22186440834
15,0,0.00673794764437213,0,0.943615963245929,6.39339041722322,190.083565179436
16,0,0.0310846838622904,0,1.01910545121511,8.35657281802508,195.340929483294
17,0,0.0707765044857429,0,1.09995847488941,7.33894180272167,186.828544993043
18,0,0.0787366850403103,0,1.09766174276907,13.4611960656909,250.215916756202
19,0,0.0538285102380171,0,1.36737821618224,9.28509837291582,190.108004176486
2,0,0.323067713983298,0,0.695316953287518,7.91341167636517,233.532745264879
20,0,0.131997980908566,0,1.05523199512851,7.43015194363501,180.876565625499
21,0,0.0497873479155225,0,1.03252342865469,6.98030680298001,206.005115159373
22,0,0.202696952681047,0,1.03619085278784,11.4010844188265,248.715642530411
23,0,0.0946734558205411,0,1.21333596148832,10.0996695885435,184.236063490349
24,0,0.0500414657927626,0,1.24950335964119,7.83768625028331,200.825472029369
25,0,0.348517793194147,0,0.544917015542464,6.06035311468911,207.405191284574
26,0,0.040797240912049,0,0.786884233795308,7.94329598411235,238.654359284503
27,0,0.0663146990120728,0,0.995935533257416,13.9439396110782,243.335874267226
28,0,0.0456392496683494,0,1.02847704878831,8.59466963735272,226.525779076475
29,0,0.246323887483651,0,1.06837951380559,7.55239598301349,180.488001390559
3,0,0.166837812904151,0,2.96494022897962,54.1564822456597,244.370037002399
30,0,0.00673794893269632,0,0.963488801119883,6.72867703564911,194.902940449272
31,0,0.00673795217448573,0,1.34873014491801,13.661525094404,240.89394805616
32,0,0.152200732175645,0,1.02498126534435,8.49066034688153,223.665739100447
33,0,0.220900856507566,0,0.961621149824878,13.3066939801601,254.264977122202
34,0,0.10158299472056,0,1.30511019281994,4.56186347636165,111.454798382209
35,0,0.0067379483828079,0,0.969629415842935,5.48267174933288,188.796183715262
36,0,0.238203658180941,0,1.11719630743052,29.9682508598215,271.726906416103
37,0,0.235567683442999,0,1.03611784620181,6.3920850378139,185.328994838219
38,0,0.00673796740693937,0,1.06418342103809,11.1422558171253,233.294246831766
39,0,0.0534685230462479,0,0.893808726420963,6.64181211844999,186.810707642041
4,0,0.0067379507963203,0,1.24016888906235,7.67518828049513,176.526393265146
40,0,2.31122399370677,0,0.00673796982933715,13.5664829599664,280.617753246523
41,0,0.104449069786452,0,1.12389981353303,5.56003828796252,139.12579832552
42,0,0.116239771216819,0,1.0864566613838,15.1222702681508,265.623608543632
43,0,0.0117096033945156,0,0.994581454803609,10.6283257054822,226.318826755512
44,0,0.12547422571256,0,1.0575491086128,9.07344326592769,207.898754516448
45,0,0.0490796982099699,0,1.56996638192517,10.4224581517853,155.56600375867
46,0,3.29208980178949,0,0.243298942764383,42.5384860947368,284.325856017331
47,0,0.105435441337025,0,1.40889182750243,12.3141727105113,210.989833843136
48,0,0.198634425110844,0,0.968798563945522,14.6396314361712,249.134554185491
49,0,0.0067379533496457,0,0.979715141665441,8.87004277528644,224.618854945764
5,0,0.0592811876725149,0,1.24083748376667,5.77374285351488,157.530554648393
50,0,0.125212806624782,0,0.77642502538135,5.75322580818916,199.706229636455
51,1,0.541690296124382,0,0.77567908447893,5.10362994261637,202.567733821764
52,1,0.288981225997883,0,0.842851005813058,2.33537861432039,136.019527893973
53,1,0.0570388635937674,0,0.337285774359974,5.51151101644916,252.3954975993
54,1,0.437681324960962,0,0.869698885724719,3.10065737607379,154.97742121483
55,1,0.1389805937016,0,1.39049618549908,4.48212174695561,84.6579834204431
56,1,0.61696360861341,0,0.872934486120145,3.49261943529016,152.902254875792
57,1,0.858380354908799,0,0.789455922915787,5.27522032081393,186.683726028669
58,1,0.370822941379889,0,0.905944220223838,4.54796619287557,163.61724874076
59,1,4.57581193822727,0,0.118019264968472,9.15433676346568,278.438246579644
6,0,0.0067379471013986,0,0.86563779906405,2.7666585160108,94.7988061429367
60,1,0.216050243125985,0,1.16751946715288,5.64543135174158,156.163946306953
61,1,1.23240049201622,0,0.820128080892747,4.16327552900398,169.192806719162
62,1,0.740902250306751,0,0.682791293857809,2.63105624493081,130.756872325291
63,1,0.00673797043061947,0,0.741520349385025,4.44004241867807,133.835991167078
64,1,1.02978813363526,0,0.881004840617768,4.03235086049478,159.356510246121
65,1,0.0716847144435138,0,1.1070493023144,6.21222455238232,159.103251797985
66,1,0.47176346510552,0,1.35736031007404,8.21170650913988,199.054861234503
67,1,0.412630076088101,0,0.698844151735499,4.50059401108267,192.034301934774
68,1,1.43090605117123,0,0.465604586383759,3.23656721964458,169.436909630071
69,1,0.190806004142828,0,1.06840296753437,5.35765908823461,160.200798365952
7,0,0.201858547437924,0,1.02692249737251,17.1880169106314,260.067716945926
70,1,0.492257100202732,0,0.551291675390713,5.19022166506608,219.363058063837
71,1,1.0124277081325,0,1.04167172373971,9.44422233086572,204.275277357696
72,1,0.269974096092427,0,0.656140855437233,3.77955192848334,186.275871807253
73,1,0.618182335153324,0,1.05759313604017,6.94860713546003,181.209493317033
74,1,0.439632648999457,0,0.881336363455099,4.41698236418442,156.712250166527
75,1,0.270099961320385,0,1.12892772120484,5.77799842738594,165.400071253207
76,1,0.638230992222595,0,0.831739666995971,3.75318620289423,133.333857031773
77,1,1.11669996530183,0,1.65719956831051,18.8461349977114,219.001556650851
78,1,0.774974427010711,0,0.634934467824871,5.86348376369042,237.153425852589
79,1,0.0425163345991125,0,0.434937617652756,1.10556719186098,103.222295274096
8,0,0.0176832123276557,0,0.964077088566476,8.64680386228937,233.439796168752
80,1,54.5981296690066,0,0.00673804110374555,54.598071226828,286.02450204881
81,1,0.557038341701908,0,0.694680842755472,4.73806219105398,173.464752296658
82,1,0.563032056989644,0,0.831190718692941,3.96976520238365,150.589990543285
83,1,0.00673794773286645,0,0.716915276825867,11.2167890636605,260.547776742012
84,1,0.703030274983546,0,1.03264340330842,8.0148382583567,204.444584093449
85,1,0.82222352717643,0,0.686967261967551,3.17022636706383,178.33166421228
86,1,0.0880665327166206,0,2.25959849080339,54.5981492566889,272.706104848645
87,1,0.633498634499049,0,0.668020936288841,6.2510831645542,215.722561425
88,1,0.0311398961462271,0,0.764023022110164,2.39817312137771,132.619068503244
89,1,0.0762023844756349,0,1.39045193941647,6.37279958317878,140.625108384925
9,0,0.0067379587052573,0,1.1385666530635,6.14048482757663,145.333268250844
90,1,1.16383786578391,0,0.679158885780512,4.90968763688591,188.277351870121
91,1,0.129021017732212,0,0.829031369074386,2.35710129932192,115.493623119753
92,1,0.76287202634772,0,0.656898728647797,6.61725193145102,227.943324195256
93,1,0.364957320490877,0,0.75715288158224,3.93848578513676,177.206844089779
94,1,0.689496122408149,0,1.4748534103122,19.7775362329796,249.026439623265
95,1,0.30649879617327,0,1.31900253826778,6.12169000361805,159.934733892868
96,1,29.6683230293672,0,1.83422275605538,47.8466299143603,280.533045883349
97,1,0.128043435634549,0,0.777001924290477,4.27382583378354,204.654099078371
98,1,0.501729067940005,0,1.54964443476695,8.70013284497219,170.856859337764
99,1,0.839997529852038,0,0.525641031718528,4.11314818505412,210.706697255824
