"name","reward","parent"
1,11,
2,60,1
6,44,2
22,76,6
23,71,6
24,36,6
25,32,6
7,42,2
26,92,7
27,50,7
28,40,7
29,62,7
8,45,2
30,58,8
31,77,8
32,49,8
33,51,8
9,46,2
34,57,9
35,42,9
36,36,9
37,60,9
3,58,1
10,42,3
38,51,10
39,92,10
40,37,10
41,76,10
11,33,3
42,49,11
43,79,11
44,71,11
45,80,11
12,72,3
46,10,12
47,26,12
48,21,12
49,8,12
13,48,3
50,64,13
51,39,13
52,26,13
53,47,13
4,66,1
14,55,4
54,42,14
55,25,14
56,13,14
57,11,14
15,61,4
58,19,15
59,72,15
60,35,15
61,51,15
16,47,4
62,79,16
63,76,16
64,28,16
65,87,16
17,45,4
66,14,17
67,44,17
68,21,17
69,34,17
5,85,1
18,57,5
70,23,18
71,27,18
72,8,18
73,20,18
19,37,5
74,13,19
75,25,19
76,9,19
77,49,19
20,18,5
78,45,20
79,46,20
80,60,20
81,43,20
21,51,5
82,42,21
83,8,21
84,8,21
85,22,21
