"name","reward","parent"
1,50,
2,68,1
6,42,2
22,14,6
23,8,6
24,15,6
25,18,6
7,43,2
26,21,7
27,46,7
28,24,7
29,28,7
8,43,2
30,8,8
31,46,8
32,8,8
33,41,8
9,68,2
34,8,9
35,8,9
36,19,9
37,8,9
3,16,1
10,62,3
38,53,10
39,51,10
40,68,10
41,37,10
11,54,3
42,80,11
43,66,11
44,63,11
45,44,11
12,62,3
46,23,12
47,78,12
48,43,12
49,80,12
13,70,3
50,8,13
51,13,13
52,30,13
53,30,13
4,30,1
14,55,4
54,60,14
55,46,14
56,24,14
57,35,14
15,26,4
58,92,15
59,70,15
60,71,15
61,68,15
16,35,4
62,73,16
63,63,16
64,91,16
65,48,16
17,65,4
66,21,17
67,55,17
68,8,17
69,36,17
5,55,1
18,51,5
70,8,18
71,28,18
72,8,18
73,8,18
19,53,5
74,30,19
75,36,19
76,39,19
77,23,19
20,46,5
78,8,20
79,8,20
80,47,20
81,8,20
21,64,5
82,29,21
83,8,21
84,8,21
85,16,21
