"name","reward","parent"
1,55,
2,50,1
6,38,2
22,28,6
23,36,6
24,31,6
25,32,6
7,58,2
26,74,7
27,66,7
28,61,7
29,67,7
8,47,2
30,33,8
31,43,8
32,45,8
33,47,8
9,56,2
34,60,9
35,64,9
36,57,9
37,61,9
3,47,1
10,44,3
38,40,10
39,34,10
40,48,10
41,53,10
11,46,3
42,34,11
43,38,11
44,54,11
45,65,11
12,44,3
46,40,12
47,40,12
48,41,12
49,48,12
13,45,3
50,52,13
51,50,13
52,40,13
53,34,13
4,50,1
14,48,4
54,51,14
55,56,14
56,45,14
57,40,14
15,51,4
58,62,15
59,54,15
60,49,15
61,50,15
16,43,4
62,33,16
63,37,16
64,39,16
65,42,16
17,49,4
66,39,17
67,54,17
68,48,17
69,48,17
5,54,1
18,42,5
70,29,18
71,37,18
72,42,18
73,40,18
19,54,5
74,67,19
75,55,19
76,46,19
77,53,19
20,64,5
78,75,20
79,79,20
80,69,20
81,56,20
21,59,5
82,61,21
83,54,21
84,65,21
85,66,21
