"name","reward","parent"
1,50,
2,51,1
6,42,2
22,34,6
23,44,6
24,48,6
25,40,6
7,49,2
26,57,7
27,55,7
28,48,7
29,45,7
8,51,2
30,54,8
31,47,8
32,52,8
33,40,8
9,66,2
34,72,9
35,81,9
36,69,9
37,66,9
3,50,1
10,58,3
38,39,10
39,53,10
40,76,10
41,86,10
11,51,3
42,53,11
43,48,11
44,50,11
45,55,11
12,42,3
46,26,12
47,40,12
48,43,12
49,40,12
13,53,3
50,59,13
51,55,13
52,61,13
53,53,13
4,47,1
14,41,4
54,36,14
55,36,14
56,39,14
57,45,14
15,53,4
58,71,15
59,62,15
60,51,15
61,53,15
16,42,4
62,35,16
63,32,16
64,39,16
65,42,16
17,50,4
66,52,17
67,53,17
68,51,17
69,51,17
5,48,1
18,42,5
70,31,18
71,35,18
72,46,18
73,54,18
19,57,5
74,65,19
75,55,19
76,60,19
77,80,19
20,49,5
78,49,20
79,51,20
80,50,20
81,37,20
21,52,5
82,64,21
83,55,21
84,46,21
85,57,21
