"name","reward","parent"
1,56,
2,68,1
6,62,2
22,8,6
23,10,6
24,40,6
25,10,6
7,24,2
26,29,7
27,55,7
28,75,7
29,73,7
8,41,2
30,46,8
31,8,8
32,21,8
33,72,8
9,31,2
34,82,9
35,64,9
36,36,9
37,28,9
3,24,1
10,31,3
38,78,10
39,92,10
40,92,10
41,61,10
11,74,3
42,58,11
43,53,11
44,27,11
45,68,11
12,42,3
46,79,12
47,92,12
48,45,12
49,56,12
13,73,3
50,76,13
51,11,13
52,58,13
53,41,13
4,46,1
14,47,4
54,83,14
55,25,14
56,60,14
57,29,14
15,44,4
58,31,15
59,92,15
60,62,15
61,53,15
16,41,4
62,61,16
63,60,16
64,34,16
65,63,16
17,62,4
66,37,17
67,62,17
68,49,17
69,49,17
5,40,1
18,54,5
70,64,18
71,78,18
72,56,18
73,68,18
19,40,5
74,92,19
75,55,19
76,36,19
77,92,19
20,52,5
78,8,20
79,79,20
80,89,20
81,54,20
21,45,5
82,73,21
83,53,21
84,52,21
85,72,21
