"name","reward","parent"
1,81,
2,59,1
6,48,2
22,41,6
23,45,6
24,52,6
25,44,6
7,42,2
26,24,7
27,18,7
28,92,7
29,68,7
8,40,2
30,71,8
31,54,8
32,40,8
33,51,8
9,56,2
34,9,9
35,8,9
36,34,9
37,8,9
3,49,1
10,37,3
38,50,10
39,40,10
40,84,10
41,43,10
11,56,3
42,32,11
43,12,11
44,79,11
45,56,11
12,47,3
46,17,12
47,54,12
48,24,12
49,62,12
13,33,3
50,92,13
51,71,13
52,73,13
53,41,13
4,70,1
14,56,4
54,20,14
55,8,14
56,42,14
57,48,14
15,51,4
58,64,15
59,16,15
60,11,15
61,62,15
16,56,4
62,8,16
63,8,16
64,45,16
65,29,16
17,48,4
66,46,17
67,44,17
68,16,17
69,20,17
5,77,1
18,47,5
70,12,18
71,23,18
72,31,18
73,43,18
19,37,5
74,56,19
75,55,19
76,11,19
77,48,19
20,51,5
78,66,20
79,8,20
80,8,20
81,8,20
21,49,5
82,40,21
83,8,21
84,43,21
85,8,21
