"name","reward","parent"
1,56,
2,36,1
6,40,2
22,92,6
23,58,6
24,65,6
25,66,6
7,39,2
26,60,7
27,92,7
28,60,7
29,55,7
8,58,2
30,89,8
31,36,8
32,49,8
33,46,8
9,44,2
34,57,9
35,56,9
36,78,9
37,60,9
3,73,1
10,27,3
38,36,10
39,24,10
40,55,10
41,28,10
11,61,3
42,9,11
43,27,11
44,8,11
45,8,11
12,44,3
46,38,12
47,13,12
48,21,12
49,13,12
13,62,3
50,8,13
51,15,13
52,42,13
53,8,13
4,56,1
14,21,4
54,74,14
55,85,14
56,48,14
57,58,14
15,45,4
58,42,15
59,32,15
60,20,15
61,37,15
16,50,4
62,40,16
63,47,16
64,32,16
65,45,16
17,55,4
66,49,17
67,19,17
68,17,17
69,38,17
5,43,1
18,55,5
70,64,18
71,16,18
72,46,18
73,39,18
19,46,5
74,28,19
75,65,19
76,31,19
77,39,19
20,61,5
78,66,20
79,42,20
80,23,20
81,33,20
21,62,5
82,40,21
83,47,21
84,45,21
85,48,21
