"name","reward","parent"
1,61,
2,47,1
6,53,2
22,50,6
23,47,6
24,92,6
25,44,6
7,39,2
26,50,7
27,85,7
28,69,7
29,76,7
8,60,2
30,78,8
31,48,8
32,40,8
33,57,8
9,37,2
34,92,9
35,42,9
36,78,9
37,86,9
3,52,1
10,43,3
38,38,10
39,59,10
40,62,10
41,63,10
11,48,3
42,52,11
43,24,11
44,24,11
45,83,11
12,47,3
46,48,12
47,50,12
48,50,12
49,19,12
13,45,3
50,61,13
51,69,13
52,50,13
53,36,13
4,28,1
14,55,4
54,49,14
55,68,14
56,50,14
57,52,14
15,40,4
58,54,15
59,82,15
60,81,15
61,59,15
16,52,4
62,44,16
63,84,16
64,52,16
65,54,16
17,37,4
66,77,17
67,89,17
68,61,17
69,56,17
5,45,1
18,47,5
70,68,18
71,64,18
72,62,18
73,57,18
19,63,5
74,78,19
75,20,19
76,33,19
77,48,19
20,51,5
78,66,20
79,50,20
80,53,20
81,92,20
21,53,5
82,47,21
83,92,21
84,60,21
85,39,21
