"name","reward","parent"
1,48,
2,52,1
6,54,2
22,69,6
23,54,6
24,47,6
25,48,6
7,52,2
26,52,7
27,58,7
28,53,7
29,47,7
8,45,2
30,51,8
31,49,8
32,32,8
33,20,8
9,60,2
34,71,9
35,70,9
36,67,9
37,50,9
3,48,1
10,47,3
38,45,10
39,52,10
40,48,10
41,43,10
11,45,3
42,57,11
43,43,11
44,36,11
45,36,11
12,44,3
46,45,12
47,37,12
48,38,12
49,38,12
13,51,3
50,53,13
51,55,13
52,54,13
53,46,13
4,46,1
14,45,4
54,59,14
55,45,14
56,38,14
57,43,14
15,40,4
58,37,15
59,38,15
60,33,15
61,28,15
16,50,4
62,28,16
63,48,16
64,66,16
65,74,16
17,46,4
66,37,17
67,46,17
68,46,17
69,44,17
5,46,1
18,44,5
70,46,18
71,45,18
72,44,18
73,37,18
19,47,5
74,43,19
75,40,19
76,46,19
77,58,19
20,44,5
78,52,20
79,48,20
80,37,20
81,31,20
21,46,5
82,50,21
83,47,21
84,41,21
85,49,21
