"name","reward","parent"
1,57,
2,59,1
6,63,2
22,73,6
23,63,6
24,59,6
25,51,6
7,64,2
26,59,7
27,61,7
28,72,7
29,66,7
8,55,2
30,36,8
31,53,8
32,59,8
33,56,8
9,56,2
34,49,9
35,53,9
36,57,9
37,55,9
3,55,1
10,52,3
38,46,10
39,50,10
40,58,10
41,60,10
11,43,3
42,38,11
43,43,11
44,35,11
45,32,11
12,52,3
46,52,12
47,50,12
48,49,12
49,48,12
13,60,3
50,68,13
51,66,13
52,60,13
53,56,13
4,53,1
14,64,4
54,69,14
55,67,14
56,70,14
57,71,14
15,50,4
58,44,15
59,43,15
60,45,15
61,55,15
16,51,4
62,52,16
63,51,16
64,49,16
65,42,16
17,47,4
66,35,17
67,46,17
68,53,17
69,45,17
5,50,1
18,55,5
70,47,18
71,55,18
72,60,18
73,67,18
19,55,5
74,43,19
75,51,19
76,70,19
77,71,19
20,44,5
78,47,20
79,52,20
80,36,20
81,31,20
21,46,5
82,52,21
83,59,21
84,43,21
85,40,21
