"name","reward","parent"
1,58,
2,52,1
6,55,2
22,39,6
23,16,6
24,23,6
25,32,6
7,51,2
26,29,7
27,34,7
28,58,7
29,24,7
8,60,2
30,35,8
31,40,8
32,80,8
33,31,8
9,39,2
34,71,9
35,87,9
36,34,9
37,41,9
3,37,1
10,56,3
38,81,10
39,70,10
40,82,10
41,61,10
11,50,3
42,64,11
43,48,11
44,50,11
45,33,11
12,61,3
46,38,12
47,69,12
48,27,12
49,76,12
13,33,3
50,92,13
51,57,13
52,62,13
53,46,13
4,36,1
14,65,4
54,77,14
55,42,14
56,46,14
57,44,14
15,44,4
58,40,15
59,59,15
60,76,15
61,75,15
16,58,4
62,81,16
63,56,16
64,92,16
65,39,16
17,78,4
66,27,17
67,36,17
68,19,17
69,84,17
5,69,1
18,48,5
70,27,18
71,22,18
72,64,18
73,46,18
19,40,5
74,22,19
75,58,19
76,21,19
77,16,19
20,12,5
78,63,20
79,50,20
80,61,20
81,50,20
21,55,5
82,34,21
83,49,21
84,41,21
85,45,21
